Associated Gene Name	Ensembl Gene ID	CD4 naive	CD4 tcr	CD4 Th1	CD8 tcr	CD8 naive
Gnai3	ENSMUSG00000000001	66573	225926	283511	266491	92896
Narf	ENSMUSG00000000056	236	4133	781	356	182
Scmh1	ENSMUSG00000000085	185	1460	652	4859	106
Cox5a	ENSMUSG00000000088	3177	60978	371497	342081	152617
Xpo6	ENSMUSG00000000131	7786	14443	18469	38306	5110
Brat1	ENSMUSG00000000148	11331	2799	13587	18100	4558
Dlat	ENSMUSG00000000168	40663	76086	55476	173778	49858
Ccnd2	ENSMUSG00000000184	1118	6455	22825	2681	1092
Gpr107	ENSMUSG00000000194	966	1814	2760	2125	1523
Trim25	ENSMUSG00000000275	9331	27863	39365	170333	15994
Dgke	ENSMUSG00000000276	684	1193	3537	1445	602
Mnt	ENSMUSG00000000282	149	3695	1806	9190	1398
Itgb2	ENSMUSG00000000290	126306	246793	1132401	448363	183186
Hddc2	ENSMUSG00000000295	2248	9844	89583	189299	25574
Comt	ENSMUSG00000000326	9378	19362	118234	139730	16443
Rtca	ENSMUSG00000000339	141388	83735	138354	127962	103516
Dbt	ENSMUSG00000000340	24651	12183	20652	32684	22980
Mcts1	ENSMUSG00000000355	46648	48300	64484	78679	81081
Trappc10	ENSMUSG00000000374	2725	2892	10154	7804	4219
Ccm2	ENSMUSG00000000378	52521	28184	40637	37416	46734
Tbrg4	ENSMUSG00000000384	15074	41740	52802	105696	13210
Ndufa9	ENSMUSG00000000399	125258	69346	126795	266014	85621
Lck	ENSMUSG00000000409	197235	146254	433834	324147	243847
Galnt1	ENSMUSG00000000420	5868	7447	44443	16926	8367
Mkrn2	ENSMUSG00000000439	5844	8434	12604	26599	6383
Raf1	ENSMUSG00000000441	2089	7379	19016	20195	3013
Tom1l2	ENSMUSG00000000538	72	899	4248	2233	1277
Wdr77	ENSMUSG00000000561	22183	136737	130657	335637	38084
Atp5f1	ENSMUSG00000000563	449447	643929	510814	860247	360154
Hnrnpd	ENSMUSG00000000568	534875	1313343	611759	674447	907852
Krit1	ENSMUSG00000000600	12753	5014	18098	24593	8454
Clcn4-2	ENSMUSG00000000605	466	1499	1475	1097	125
Hk2	ENSMUSG00000000628	380	402587	409097	776757	756
Myo18a	ENSMUSG00000000631	10595	28373	68503	20950	20996
Haao	ENSMUSG00000000673	508	1080	3837	25268	36881
Kat2b	ENSMUSG00000000708	764	601	1032	753	41
Rab5b	ENSMUSG00000000711	17243	37607	60972	43226	25399
Spg7	ENSMUSG00000000738	7416	12250	19532	17509	6011
Rpl13	ENSMUSG00000000740	1497057	5692175	5328527	6806444	1213712
Chmp1a	ENSMUSG00000000743	12643	21178	117171	63847	58555
Rpa1	ENSMUSG00000000751	118097	150977	343620	435482	123654
Tubgcp3	ENSMUSG00000000759	10288	7730	22320	24599	9365
Polr3d	ENSMUSG00000000776	3143	17690	5093	36408	5991
Ddx3x	ENSMUSG00000000787	29812	206654	374124	693142	82686
Usp32	ENSMUSG00000000804	166	796	599	1222	108
Txnrd3	ENSMUSG00000000811	1599	5855	570	7518	356
Znf512b	ENSMUSG00000000823	6491	8482	5383	11173	11420
Dnajc5	ENSMUSG00000000826	47754	92723	65201	74406	56265
